type,price,time,formation_time,validation_time,idx,validation_idx,strength,touches,validated,bayesian_probability,kde_density,composite_score,mtf_confluence,aligned_timeframes,num_timeframes
demand,1.08043,2024-05-23 16:00:00,2024-05-23 16:00:00,2024-05-28 20:00:00,309,329,0.007348925890617679,11,True,0.1,0.9999910204966717,0.09110188990842624,0.0,[16388],1
supply,1.07347,2024-04-30 08:00:00,2024-04-30 08:00:00,2024-05-03 16:00:00,202,222,0.007312733471824935,8,True,0.1,0.9999910204966717,0.09109646104560734,0.0,[16388],1
supply,1.08694,2024-07-29 00:00:00,2024-07-29 00:00:00,2024-08-01 08:00:00,597,617,0.007185309216700181,2,True,0.1,0.9999910204966717,0.09107734740733861,0.0,[16388],1
supply,1.13804,2025-05-02 12:00:00,2025-05-02 12:00:00,2025-05-07 16:00:00,1823,1843,0.007082352114161151,7,True,0.1,0.9999910204966717,0.09106190384195775,0.0,[16388],1
supply,1.05446,2024-11-26 12:00:00,2024-11-26 12:00:00,2024-11-29 20:00:00,1133,1153,0.006866073630104426,10,True,0.1,0.9999910204966717,0.09102946206934925,0.0,[16388],1
demand,1.1121,2024-09-25 16:00:00,2024-09-25 16:00:00,2024-09-30 20:00:00,861,881,0.006833917813146146,11,True,0.1,0.9999910204966717,0.09102463869680552,0.0,[16388],1
demand,1.04489,2025-02-21 16:00:00,2025-02-21 16:00:00,2025-02-26 20:00:00,1514,1534,0.006804544018987596,8,True,0.1,0.9999910204966717,0.09102023262768173,0.0,[16388],1
supply,1.08115,2024-05-03 12:00:00,2024-05-03 12:00:00,2024-05-08 16:00:00,221,241,0.006779817786616157,3,True,0.1,0.9999910204966717,0.091016523692826,0.0,[16388],1
supply,1.09022,2024-07-21 20:00:00,2024-07-21 20:00:00,2024-07-25 04:00:00,565,585,0.006714241162334202,7,True,0.1,0.9999910204966717,0.09100668719918373,0.0,[16388],1
demand,1.11961,2025-05-09 00:00:00,2025-05-09 00:00:00,2025-05-14 04:00:00,1851,1871,0.0065469225891159055,7,True,0.1,0.9999910204966717,0.09098158941320098,0.0,[16388],1
demand,1.11242,2024-09-27 04:00:00,2024-09-27 04:00:00,2024-10-02 08:00:00,870,890,0.006544290825407628,6,True,0.1,0.9999910204966717,0.09098119464864474,0.0,[16388],1
demand,1.04526,2025-02-24 12:00:00,2025-02-24 12:00:00,2025-02-27 20:00:00,1520,1540,0.0064481564395461105,6,True,0.1,0.9999910204966717,0.09096677449076551,0.0,[16388],1
supply,1.05278,2025-02-24 00:00:00,2025-02-24 00:00:00,2025-02-27 08:00:00,1517,1537,0.006345105340147057,7,True,0.1,0.9999910204966717,0.09095131682585565,0.0,[16388],1
demand,1.06706,2024-06-21 04:00:00,2024-06-21 04:00:00,2024-06-26 08:00:00,436,456,0.006335163908308905,9,True,0.1,0.9999910204966717,0.09094982561107992,0.0,[16388],1
supply,1.08743,2024-05-21 08:00:00,2024-05-21 08:00:00,2024-05-24 16:00:00,295,315,0.006280864055617274,7,True,0.1,0.9999910204966717,0.09094168063317618,0.0,[16388],1
supply,1.09477,2024-07-17 12:00:00,2024-07-17 12:00:00,2024-07-22 16:00:00,550,570,0.006275290700329687,6,True,0.1,0.9999910204966717,0.09094084462988304,0.0,[16388],1
demand,1.03831,2024-12-24 16:00:00,2024-12-24 16:00:00,2024-12-30 16:00:00,1258,1278,0.0062120176055319165,11,True,0.1,0.9999910204966717,0.09093135366566338,0.0,[16388],1
supply,1.07458,2024-06-24 12:00:00,2024-06-24 12:00:00,2024-06-27 20:00:00,445,465,0.00616985240745234,15,True,0.1,0.9999910204966717,0.09092502888595144,0.0,[16388],1
supply,1.0896,2024-07-23 00:00:00,2024-07-23 00:00:00,2024-07-26 08:00:00,572,592,0.006149045521292152,2,True,0.1,0.9999910204966717,0.09092190785302742,0.0,[16388],1
demand,1.04527,2024-12-13 04:00:00,2024-12-13 04:00:00,2024-12-18 08:00:00,1211,1231,0.006084552316626464,2,True,0.1,0.9999910204966717,0.09091223387232755,0.0,[16388],1
supply,1.0884,2024-05-20 04:00:00,2024-05-20 04:00:00,2024-05-23 12:00:00,288,308,0.005825064314590235,8,True,0.1,0.9999910204966717,0.09087331067202212,0.0,[16388],1
supply,1.03302,2025-01-17 12:00:00,2025-01-17 12:00:00,2025-01-22 16:00:00,1358,1378,0.00580821281291747,2,True,0.1,0.9999910204966717,0.09087078294677121,0.0,[16388],1
supply,1.0457,2025-01-22 08:00:00,2025-01-22 08:00:00,2025-01-27 12:00:00,1376,1396,0.005766472219565821,4,True,0.1,0.9999910204966717,0.09086452185776847,0.0,[16388],1
demand,1.08719,2024-11-05 00:00:00,2024-11-05 00:00:00,2024-11-08 08:00:00,1037,1057,0.0056751809711274095,2,True,0.1,0.9999910204966717,0.0908508281705027,0.0,[16388],1
supply,1.0447,2024-12-20 16:00:00,2024-12-20 16:00:00,2024-12-26 16:00:00,1245,1265,0.005436967550492876,8,True,0.1,0.9999910204966717,0.09081509615740752,0.0,[16388],1
supply,1.07759,2024-07-01 04:00:00,2024-07-01 04:00:00,2024-07-04 12:00:00,474,494,0.005400940988687867,3,True,0.1,0.9999910204966717,0.09080969217313678,0.0,[16388],1
demand,1.03836,2024-12-23 12:00:00,2024-12-23 12:00:00,2024-12-27 16:00:00,1251,1271,0.005248661350591274,13,True,0.1,0.9999910204966717,0.09078685022742228,0.0,[16388],1
supply,1.0839,2024-10-25 12:00:00,2024-10-25 12:00:00,2024-10-30 16:00:00,996,1016,0.005194206107574521,2,True,0.1,0.9999910204966717,0.09077868194096977,0.0,[16388],1
supply,1.06897,2024-04-18 04:00:00,2024-04-18 04:00:00,2024-04-23 08:00:00,151,171,0.00512643011497042,7,True,0.1,0.9999910204966717,0.09076851554207915,0.0,[16388],1
demand,1.08013,2024-03-22 16:00:00,2024-03-22 16:00:00,2024-03-27 20:00:00,36,56,0.005082721524260964,10,True,0.1,0.9999910204966717,0.09076195925347273,0.0,[16388],1
supply,1.08603,2024-05-23 12:00:00,2024-05-23 12:00:00,2024-05-28 16:00:00,308,328,0.004999861882268488,21,True,0.1,0.9999910204966717,0.09074953030717386,0.0,[16388],1
supply,1.12879,2025-05-19 08:00:00,2025-05-19 08:00:00,2025-05-22 16:00:00,1891,1911,0.004943346415187872,9,True,0.1,0.9999910204966717,0.09074105298711177,0.0,[16388],1
supply,1.14124,2025-04-16 16:00:00,2025-04-16 16:00:00,2025-04-21 20:00:00,1750,1770,0.004906943324804642,6,True,0.1,0.9999910204966717,0.09073559252355429,0.0,[16388],1
supply,1.05052,2025-02-20 20:00:00,2025-02-20 20:00:00,2025-02-26 00:00:00,1509,1529,0.004892814986863575,10,True,0.1,0.9999910204966717,0.09073347327286313,0.0,[16388],1
