Time,Type,Entry,Exit,PnL
2025-04-11 20:30:00,BUY_SL,18577.7,18481.42142857143,-97.47857142857102
2025-04-11 21:15:00,BUY_SL,18713.7,18602.7,-112.2
2025-04-14 07:45:00,BUY_TP,18869.5,18976.77142857143,106.07142857142826
2025-04-15 03:10:00,SELL_SL,18728.3,18755.557142857142,-28.457142857142752
2025-04-16 04:10:00,SELL_SL,18531.1,18562.81428571428,-32.9142857142826
2025-04-16 16:30:00,SELL_SL,18478.6,18513.82857142857,-36.42857142857174
2025-04-17 13:20:00,BUY_SL,18447.8,18419.09642857143,-29.903571428570284
2025-04-21 01:00:00,SELL_TP,18309.8,18200.12857142857,108.47142857142971
2025-04-22 13:25:00,BUY_SL,17993.0,17968.475000000002,-25.724999999997817
2025-04-23 01:00:00,SELL_SL,18248.7,18295.157142857144,-47.657142857143484
2025-04-25 16:50:00,SELL_TP,19230.2,19146.67142857143,82.32857142857101
2025-04-28 03:20:00,BUY_SL,19364.9,19328.310714285715,-37.78928571428624
2025-04-29 02:00:00,BUY_TP,19367.4,19400.31428571429,31.714285714286962
2025-04-29 20:45:00,BUY_TP,19418.2,19520.735714285718,101.3357142857174
2025-04-30 07:15:00,SELL_SL,19418.3,19434.43571428571,-17.33571428571231
2025-04-30 22:50:00,BUY_TP,19403.5,19514.114285714284,109.41428571428405
2025-05-02 09:15:00,BUY_SL,19847.0,19814.964285714286,-33.23571428571377
2025-05-05 09:00:00,SELL_SL,19966.3,19983.42142857143,-18.32142857143044
2025-05-05 10:00:00,BUY_SL,19984.3,19964.992857142857,-20.507142857142025
2025-05-05 11:30:00,BUY_SL,19961.8,19943.939285714285,-19.060714285714493
2025-05-05 15:05:00,SELL_SL,19884.3,19904.72142857143,-21.621428571429714
2025-05-06 22:55:00,BUY_SL,19838.0,19799.332142857143,-39.86785714285652
2025-05-07 09:20:00,SELL_TP,19933.1,19877.70714285714,54.1928571428587
2025-05-07 14:10:00,BUY_TP,19893.4,19935.485714285714,40.885714285713036
2025-05-08 07:40:00,BUY_TP,20072.6,20109.95,36.15000000000218
2025-05-08 09:30:00,BUY_SL,20068.6,20050.985714285714,-18.81428571428405
2025-05-09 10:05:00,SELL_SL,20099.7,20118.942857142858,-20.442857142857246
2025-05-09 14:25:00,BUY_SL,20161.2,20145.72857142857,-16.671428571428986
2025-05-09 20:20:00,SELL_SL,20002.9,20045.76785714286,-44.06785714285725
2025-05-09 22:45:00,BUY_SL,20083.4,20053.025,-31.575
2025-05-13 15:25:00,BUY_TP,20856.0,20898.47142857143,41.271428571428984
2025-05-16 08:10:00,BUY_SL,21329.6,21320.20357142857,-10.596428571428259
2025-05-16 20:30:00,SELL_SL,21360.6,21393.246428571427,-33.84642857142826
2025-05-19 20:00:00,BUY_TP,21392.3,21460.4,66.90000000000218
2025-05-20 14:55:00,BUY_SL,21420.5,21404.492857142857,-17.207142857142752
2025-05-20 21:20:00,BUY_SL,21377.3,21351.489285714284,-27.01071428571522
2025-05-21 02:00:00,SELL_SL,21324.0,21350.51785714286,-27.7178571428587
2025-05-21 20:00:00,BUY_SL,21476.8,21444.410714285714,-33.58928571428551
2025-05-22 13:55:00,BUY_SL,21155.7,21133.864285714288,-23.035714285713038
2025-05-22 19:50:00,BUY_SL,21225.5,21171.553571428572,-55.146428571427535
2025-05-26 08:25:00,BUY_SL,21169.7,21159.328571428574,-11.571428571426804
2025-05-27 01:30:00,SELL_TP,21231.3,21195.40714285714,34.6928571428587
2025-05-27 09:20:00,BUY_TP,21169.8,21195.77142857143,24.771428571428988
2025-05-29 21:20:00,SELL_TP,21397.3,21289.492857142857,106.60714285714202
2025-05-29 22:25:00,SELL_SL,21328.0,21370.02142857143,-43.22142857142826
2025-05-30 04:00:00,BUY_SL,21309.1,21287.70357142857,-22.59642857142826
2025-05-30 19:25:00,SELL_TP,21289.0,21186.35714285714,101.4428571428587
2025-05-30 23:05:00,BUY_SL,21340.3,21298.48214285714,-43.01785714285798
2025-06-02 02:30:00,BUY_SL,21288.8,21261.553571428572,-28.446428571426804
2025-06-02 06:45:00,SELL_TP,21245.8,21209.221428571425,35.37857142857392
2025-06-02 21:55:00,BUY_TP,21427.3,21493.449999999997,64.94999999999781
2025-06-03 02:50:00,BUY_SL,21494.7,21470.82857142857,-25.07142857143044
2025-06-03 09:45:00,SELL_SL,21436.4,21449.685714285715,-14.485714285713765
2025-06-04 02:30:00,BUY_SL,21690.9,21676.285714285717,-15.81428571428405
2025-06-05 03:20:00,SELL_SL,21723.6,21736.542857142857,-14.142857142857974
2025-06-06 07:40:00,BUY_TP,21567.9,21603.878571428573,34.77857142857174
2025-06-06 23:00:00,BUY_SL,21791.0,21764.3,-27.900000000000727
2025-06-09 03:05:00,SELL_SL,21751.0,21768.753571428573,-18.953571428573195
