time,open,high,low,close,tick_volume,spread,real_volume,is_near_supply,is_near_demand,distance_to_nearest_supply,distance_to_nearest_demand
2025-12-09 16:00:00,1.16286,1.16374,1.16284,1.16353,627,8,0,1,1,0.0004469158509020618,0.0002578360678280465
2025-12-09 16:15:00,1.16355,1.16399,1.16343,1.16382,621,8,0,1,1,0.00019762506229481573,0.000506951246756449
2025-12-09 16:30:00,1.16382,1.16409,1.16354,1.1636199999999999,520,8,0,1,1,0.0003695364466064115,0.0003351609632009509
2025-12-09 16:45:00,1.16363,1.16388,1.16361,1.16378,467,8,0,1,1,0.00023200261217755285,0.0004725979136950716
2025-12-09 17:00:00,1.16381,1.16392,1.16332,1.1633499999999999,496,8,0,1,1,0.0005587312502684639,0.00010315038466488844
2025-12-09 17:15:00,1.16338,1.16345,1.16267,1.16279,526,8,0,1,1,7.740004643996205e-05,6.020003612003414e-05
2025-12-09 17:30:00,1.16278,1.16294,1.16246,1.1625,377,8,0,1,1,0.00017204301075266921,0.00018924731182785973
2025-12-09 17:45:00,1.16249,1.16261,1.16217,1.16237,441,8,0,1,1,6.882490084900503e-05,0.00020647470254739713
2025-12-09 18:00:00,1.16237,1.16246,1.16192,1.16199,444,8,0,1,1,0.00025817778122011974,8.605926040727985e-06
2025-12-09 18:15:00,1.162,1.16222,1.16166,1.16219,389,8,0,1,1,8.604445056315145e-05,5.162667033804372e-05
2025-12-09 18:30:00,1.16217,1.1623999999999999,1.16192,1.16217,406,8,0,1,1,0.00010325511758186842,3.4418372527289474e-05
2025-12-09 18:45:00,1.16219,1.16245,1.16216,1.16238,278,8,0,1,1,7.742734733901432e-05,0.00021507596483085007
2025-12-09 19:00:00,1.1623999999999999,1.16248,1.16218,1.16241,276,8,0,1,1,0.00010323379874562157,0.00024087886374003838
2025-12-09 19:15:00,1.16241,1.1628,1.16231,1.16279,319,8,0,1,1,7.740004643996205e-05,6.020003612003414e-05
2025-12-09 19:30:00,1.16279,1.16294,1.16261,1.16261,267,8,0,1,1,7.741202982956067e-05,9.461470312491249e-05
2025-12-09 19:45:00,1.16261,1.16297,1.16253,1.16281,298,8,0,1,1,9.459842966592346e-05,7.739871518126219e-05
2025-12-09 20:00:00,1.16282,1.16316,1.16276,1.16305,283,8,0,1,1,0.0003009328919649632,0.00012037315678587074
2025-12-09 20:15:00,1.16305,1.16318,1.16289,1.16297,225,8,0,1,1,0.00023216420028031028,5.159204450669319e-05
2025-12-09 20:30:00,1.16297,1.16297,1.16277,1.16278,237,8,0,1,1,6.880063296570114e-05,5.160047472432359e-05
2025-12-09 20:45:00,1.16278,1.16283,1.16262,1.1626400000000001,280,8,0,1,1,5.160668822675031e-05,6.880891763560342e-05
2025-12-09 21:00:00,1.1626400000000001,1.16286,1.16256,1.1626,201,8,0,1,1,8.601410631342592e-05,0.00010321692757603471
2025-12-09 21:15:00,1.16261,1.16262,1.16246,1.16256,150,8,0,1,1,0.00012042389210021761,0.0001376273052573097
