Time,Type,Entry,Exit,PnL
2025-07-06 21:25:00,BUY_SL,108733.638,108540.36942857143,-194.46857142857624
2025-07-07 18:25:00,SELL_SL,108179.538,108493.45382142857,-315.11582142857077
2025-07-08 01:00:00,BUY_SL,108069.938,107919.22475,-151.9132500000007
2025-07-08 17:05:00,BUY_SL,108903.238,108738.84121428571,-165.5967857142852
2025-07-09 03:10:00,BUY_SL,108843.138,108759.90696428572,-84.4310357142851
2025-07-09 05:55:00,BUY_SL,108682.338,108552.57,-130.96799999999638
2025-07-09 14:10:00,BUY_TP,108756.943,108909.81785714284,151.67485714284413
2025-07-09 15:05:00,BUY_TP,108978.338,109163.126,183.58800000000048
2025-07-09 17:35:00,BUY_SL,108723.238,108428.78928571429,-295.6487142857106
2025-07-09 19:15:00,SELL_SL,108810.038,109149.95246428571,-341.1144642857136
2025-07-12 00:35:00,BUY_SL,117726.238,117541.46264285714,-185.97535714286204
2025-07-12 11:50:00,BUY_SL,117767.038,117655.48825000001,-112.74974999999104
2025-07-12 23:05:00,BUY_SL,117495.638,117400.51389285715,-96.32410714285216
2025-07-13 11:15:00,BUY_SL,117877.938,117810.40157142856,-68.73642857143132
2025-07-14 05:20:00,BUY_TP,118994.738,119374.07064285713,378.13264285713086
2025-07-16 07:35:00,SELL_SL,117443.35,117634.04650000001,-191.89650000000546
2025-07-16 15:30:00,BUY_SL,118725.038,118576.22385714286,-150.0141428571398
2025-07-18 00:05:00,BUY_TP,119117.51,119887.67899999999,768.9689999999944
2025-07-19 01:05:00,BUY_SL,117602.138,117340.74146428572,-262.5965357142879
2025-07-20 13:45:00,BUY_SL,117924.335,117831.71396428572,-93.82103571428452
2025-07-20 20:00:00,BUY_SL,118513.738,118300.02539285715,-214.91260714285016
2025-07-21 06:05:00,BUY_TP,117792.938,118416.27371428571,622.135714285713
2025-07-21 09:30:00,BUY_TP,118362.538,118909.41828571429,545.6802857142873
2025-07-21 13:40:00,BUY_SL,118581.238,118349.74032142857,-232.69767857142432
2025-07-22 03:40:00,BUY_SL,117170.438,116986.15078571429,-185.4872142857086
2025-07-22 11:50:00,BUY_TP,117617.438,118220.09107142856,601.4530714285618
2025-07-23 02:10:00,BUY_TP,119309.638,120121.91500000001,811.0770000000018
2025-07-23 23:30:00,BUY_SL,118039.638,117644.01557142858,-396.822428571427
2025-07-24 01:10:00,BUY_TP,117461.438,118219.99614285714,757.3581428571458
2025-07-24 04:35:00,BUY_SL,118969.938,118763.5607142857,-207.57728571429033
2025-07-24 16:50:00,BUY_SL,118554.038,118347.93660714285,-207.3013928571483
2025-07-24 19:15:00,BUY_SL,119004.738,118651.22110714286,-354.71689285713654
2025-07-24 20:20:00,BUY_TP,118467.938,119044.68392857142,575.5459285714285
2025-07-24 22:55:00,BUY_SL,119043.938,118819.36882142856,-225.7691785714298
2025-07-26 18:10:00,BUY_SL,117981.238,117870.80382142858,-111.63417857142049
2025-07-27 05:05:00,BUY_SL,118069.938,117975.56453571428,-95.57346428571618
2025-07-27 05:50:00,BUY_TP,118110.038,118282.48678571428,171.24878571428127
2025-07-27 19:00:00,BUY_TP,118309.238,118704.38942857142,393.951428571422
2025-07-29 01:40:00,BUY_SL,118012.338,117811.28817857143,-202.24982142857624
2025-07-29 04:25:00,SELL_SL,117836.838,118168.23064285715,-332.59264285714306
2025-07-29 09:15:00,BUY_TP,118449.838,118833.44949999999,382.4114999999845
2025-07-29 13:00:00,BUY_SL,118822.238,118640.38860714286,-183.04939285714062
2025-07-31 08:25:00,BUY_SL,118387.938,118288.55485714285,-100.58314285714296
2025-07-31 13:00:00,BUY_TP,118432.938,118596.97157142856,162.83357142856113
2025-08-01 16:30:00,BUY_SL,115660.438,115316.36307142857,-345.2749285714264
2025-08-02 09:05:00,BUY_SL,113879.938,113803.75492857142,-77.3830714285752
2025-08-03 13:10:00,BUY_TP,113519.938,113660.97507142858,139.83707142858185
2025-08-03 22:35:00,BUY_TP,114264.238,114572.38942857142,306.951428571422
2025-08-04 16:25:00,BUY_SL,114248.75,114101.70907142857,-148.24092857142676
2025-08-04 19:45:00,BUY_TP,114636.638,115257.70400000001,619.8660000000061
2025-08-04 20:40:00,BUY_SL,115419.938,115129.67557142857,-291.4624285714264
2025-08-05 04:15:00,BUY_SL,114885.65,114714.86546428571,-171.98453571427962
2025-08-05 23:20:00,BUY_TP,113400.224,113813.56421428573,412.14021428572306
2025-08-07 05:50:00,BUY_SL,114872.207,114453.07978571428,-420.32721428571966
2025-08-08 11:30:00,BUY_SL,116709.285,116560.19785714286,-150.28714285714085
2025-08-08 18:35:00,BUY_SL,116411.583,116069.00314285714,-343.7798571428604
2025-08-09 03:35:00,BUY_SL,116603.094,116537.628,-66.66600000000035
2025-08-09 13:10:00,BUY_TP,117255.841,117671.43914285714,414.3981428571395
2025-08-10 00:15:00,BUY_SL,116651.923,116522.61560714284,-130.5073928571539
2025-08-10 11:35:00,BUY_TP,117709.533,118144.40164285713,433.6686428571382
2025-08-11 00:55:00,SELL_SL,118301.55,118624.55817857143,-324.2081785714283
2025-08-12 21:50:00,BUY_SL,119689.125,119374.03510714286,-316.2898928571405
2025-08-13 01:10:00,BUY_SL,119806.303,119589.55257142858,-217.95042857142397
2025-08-13 10:55:00,SELL_SL,119268.808,119512.57814285715,-244.9701428571454
2025-08-13 16:45:00,BUY_TP,120284.467,120802.60642857144,516.9394285714341
2025-08-15 00:20:00,BUY_SL,118046.161,117802.18417857142,-245.17682142857228
2025-08-16 07:25:00,BUY_TP,117354.027,117604.19271428572,248.9657142857148
2025-08-17 07:50:00,BUY_TP,117632.35,117790.29421428572,156.74421428571515
2025-08-17 11:45:00,BUY_TP,117897.438,118098.18942857142,199.55142857142783
2025-08-17 21:50:00,SELL_TP,117743.359,117571.42385714284,170.73514285715356
2025-08-18 01:30:00,SELL_SL,117697.865,117806.27889285715,-109.61389285714831
2025-08-18 04:25:00,SELL_TP,117234.833,116752.38628571428,481.2467142857175
2025-08-19 16:25:00,BUY_TP,115280.894,115678.04321428572,395.9492142857169
2025-08-20 11:20:00,BUY_TP,113450.734,113710.49692857143,258.56292857143563
2025-08-20 12:50:00,BUY_SL,113737.544,113557.58889285714,-181.15510714285773
2025-08-20 16:50:00,SELL_TP,113059.729,112532.00007142857,526.5289285714359
2025-08-20 20:45:00,SELL_SL,113783.173,114335.89042857142,-553.9174285714282
2025-08-21 12:15:00,SELL_TP,113668.291,113333.011,334.07999999999885
2025-08-22 05:10:00,BUY_TP,112749.118,113085.02242857142,334.704428571419
2025-08-22 08:45:00,BUY_TP,112774.291,113146.2507142857,370.7597142857092
2025-08-24 00:40:00,BUY_SL,115037.289,114938.31546428573,-100.17353571427812
2025-08-24 19:55:00,SELL_TP,114609.203,114193.98242857143,414.0205714285665
2025-08-24 22:15:00,BUY_SL,114730.68,114488.39624999999,-243.48375000000232
2025-08-25 00:30:00,SELL_SL,112542.898,113101.27267857143,-559.5746785714321
2025-08-25 09:30:00,SELL_TP,112458.302,112085.19864285714,371.9033571428561
2025-08-25 19:20:00,BUY_TP,111922.642,112730.08085714286,806.2388571428571
2025-08-26 09:20:00,BUY_SL,110010.085,109827.03239285715,-184.25260714286122
2025-08-26 18:30:00,BUY_SL,110244.351,109801.12585714285,-444.42514285714714
2025-08-26 22:20:00,BUY_TP,110486.374,110989.5415,501.9675000000105
2025-08-27 01:00:00,BUY_TP,111133.375,111531.5935,397.0185000000027
2025-08-27 14:00:00,SELL_SL,110855.382,111042.74185714286,-188.55985714285924
2025-08-27 16:40:00,BUY_TP,111128.237,111538.47757142856,409.04057142857056
2025-08-27 23:20:00,BUY_SL,111692.883,111252.89335714286,-441.18964285713736
2025-08-28 00:20:00,BUY_SL,112157.385,111658.72232142856,-499.86267857143247
2025-08-29 03:30:00,BUY_SL,112517.221,112347.74060714287,-170.68039285713456
2025-08-29 14:00:00,SELL_SL,109690.55,109971.08332142857,-281.7333214285638
2025-08-30 10:05:00,BUY_SL,108240.297,108051.94264285715,-189.55435714285994
2025-08-30 13:45:00,BUY_SL,108501.402,108387.94746428571,-114.65453571429244
2025-08-31 17:35:00,SELL_SL,108304.336,108440.41353571428,-137.27753571428474
2025-09-01 04:45:00,SELL_SL,107959.86,108294.09567857144,-335.4356785714364
2025-09-01 20:10:00,BUY_SL,108693.102,108390.69717857143,-303.60482142857217
2025-09-02 04:45:00,BUY_TP,109046.08,109488.74307142856,441.4630714285566
2025-09-02 05:50:00,BUY_TP,109187.335,109712.85764285715,524.3226428571477
2025-09-03 09:00:00,SELL_TP,110884.766,110540.13050000001,343.4354999999894
2025-09-03 12:05:00,BUY_SL,111046.473,110838.34307142856,-209.32992857143398
2025-09-03 14:00:00,BUY_TP,111145.95,111485.895,338.745000000007
2025-09-05 03:55:00,BUY_SL,110736.126,110419.23042857143,-318.0955714285694
2025-09-05 05:15:00,BUY_SL,111229.897,111024.11135714286,-206.98564285713945
2025-09-05 21:05:00,SELL_SL,110495.928,110736.78932142857,-242.0613214285724
2025-09-06 00:00:00,BUY_TP,111115.921,111556.5175,439.39649999999966
2025-09-06 18:50:00,BUY_SL,110681.824,110323.67028571428,-359.35371428571233
2025-09-07 05:20:00,BUY_SL,110472.2,110379.93414285714,-93.46585714286194
2025-09-07 11:20:00,BUY_TP,110679.719,110907.87907142857,226.96007142857417
2025-09-08 01:15:00,BUY_TP,111016.91,111156.76764285714,138.6576428571396
2025-09-08 03:25:00,SELL_SL,110968.002,111133.49957142856,-166.69757142856832
2025-09-08 03:40:00,SELL_SL,110964.946,111169.13682142856,-205.39082142856495
2025-09-08 10:25:00,SELL_SL,111110.791,111336.58117857142,-226.99017857142024
2025-09-08 20:50:00,BUY_SL,112295.465,112106.59914285714,-190.0658571428532
2025-09-09 01:00:00,SELL_SL,112148.304,112260.66846428571,-113.56446428571071
2025-09-09 09:00:00,BUY_TP,111915.868,112219.55564285714,302.48764285714134
2025-09-09 21:15:00,SELL_SL,110954.238,111156.8535,-203.81549999999987
2025-09-10 03:25:00,BUY_SL,111239.448,111084.76596428572,-155.88203571428602
2025-09-11 01:00:00,SELL_SL,113619.925,113770.51557142858,-151.79057142857636
2025-09-13 00:45:00,BUY_SL,115871.5,115678.39825,-194.30175000000162
2025-09-14 00:40:00,BUY_SL,115853.697,115774.72103571429,-80.17596428570978
2025-09-15 16:25:00,SELL_SL,114720.444,114895.02985714286,-175.78585714285435
2025-09-16 01:35:00,BUY_SL,115306.114,115195.22585714285,-112.08814285714762
2025-09-16 06:30:00,SELL_SL,115056.369,115226.86082142858,-171.6918214285717
2025-09-16 09:25:00,BUY_SL,115854.124,115667.10721428572,-188.21678571428055
2025-09-16 16:20:00,SELL_SL,115322.095,115452.28439285714,-131.38939285713712
2025-09-16 17:55:00,SELL_SL,114903.419,115222.51699999999,-320.2979999999981
2025-09-16 20:00:00,BUY_TP,115641.36,116083.42928571429,440.8692857142858
2025-09-17 05:50:00,SELL_SL,116718.496,116866.15214285714,-148.856142857144
2025-09-17 08:15:00,SELL_SL,116402.604,116573.05392857143,-171.64992857142641
2025-09-18 00:00:00,BUY_SL,115706.13,115381.97592857144,-325.35407142856565
2025-09-18 01:55:00,BUY_TP,116276.219,116651.58521428572,374.1662142857211
2025-09-18 03:20:00,BUY_SL,116371.707,116075.97782142856,-296.9291785714333
2025-09-18 05:25:00,BUY_SL,116602.176,116393.83125,-209.54475000000383
2025-09-19 22:50:00,SELL_TP,115355.347,115065.40942857142,288.7375714285707
2025-09-20 08:50:00,SELL_SL,115535.141,115591.91042857143,-57.96942857142422
2025-09-21 18:30:00,BUY_SL,115473.853,115398.6187857143,-76.43421428570873
2025-09-22 01:00:00,BUY_TP,115176.381,115344.62035714285,167.03935714285473
2025-09-23 08:10:00,SELL_SL,112368.55,112583.71900000001,-216.36900000000895
2025-09-23 10:00:00,BUY_SL,112959.956,112795.91632142858,-165.2396785714256
2025-09-23 19:05:00,BUY_SL,112941.793,112690.79714285715,-252.19585714285785
2025-09-24 01:25:00,BUY_SL,112079.67,111952.22957142857,-128.6404285714263
2025-09-24 08:45:00,SELL_SL,112091.583,112445.55653571429,-355.17353571429265
2025-09-24 10:40:00,BUY_SL,112520.474,112370.4905,-151.18350000000208
2025-09-24 12:35:00,BUY_TP,112445.217,112733.4945,287.0774999999965
2025-09-25 12:25:00,SELL_SL,111761.7,112090.90253571428,-330.40253571428474
2025-09-26 07:35:00,BUY_SL,109555.3,109199.01185714286,-357.4881428571418
2025-09-27 04:30:00,BUY_SL,109435.432,109338.83532142857,-97.79667857142631
2025-09-27 13:30:00,SELL_SL,109203.387,109286.4297857143,-84.24278571429313
2025-09-28 09:30:00,BUY_SL,109348.83,109190.42732142858,-159.60267857142316
2025-09-28 15:45:00,SELL_TP,109306.714,109112.83707142857,192.67692857143703
2025-09-30 10:35:00,SELL_TP,113947.469,113671.11007142857,275.1589285714261
2025-09-30 15:35:00,SELL_SL,112936.093,113093.04164285713,-158.14864285713992
2025-09-30 16:20:00,SELL_SL,112958.595,113105.85492857143,-148.4599285714241
2025-09-30 21:55:00,BUY_TP,112986.058,113608.35421428572,621.096214285714
