time,open,high,low,close,tick_volume,spread,real_volume,is_near_supply,is_near_demand,distance_to_nearest_supply,distance_to_nearest_demand,bayesian_probability,composite_zone_score,high_prob_zone
2025-12-10 13:00:00,1.16391,1.16416,1.16311,1.16329,700,8,0,0,1,0.0007478788608172928,0.00010315570494040181,0.99,0.7463231108286543,1
2025-12-10 13:15:00,1.1633,1.16351,1.16272,1.16341,582,8,0,0,1,0.0006446566558651107,0.0,0.99,0.7463231108286543,1
2025-12-10 13:30:00,1.16344,1.16368,1.16321,1.16349,691,8,0,0,1,0.0005758536815960348,6.87586485486407e-05,0.99,0.7463231108286543,1
2025-12-10 13:45:00,1.16349,1.16417,1.16346,1.16397,707,8,0,1,1,0.0001632344476233361,7.732158045303872e-05,0.99,0.7465961517913471,1
2025-12-10 14:00:00,1.16395,1.16441,1.16364,1.1639,896,8,0,0,1,0.0002233868889081098,1.718360683899732e-05,0.99,0.7465961517913471,1
2025-12-10 14:15:00,1.16392,1.16432,1.1633499999999999,1.16352,703,8,0,0,1,0.0005500550055005276,9.454070407045387e-05,0.99,0.7463231108286543,1
2025-12-10 14:30:00,1.16352,1.16398,1.16337,1.16371,659,8,0,0,1,0.00038669427950267804,0.00014608450558988362,0.99,0.7465961517913471,1
2025-12-10 14:45:00,1.16373,1.16446,1.1635900000000001,1.16429,891,8,0,1,0,0.000111656030713966,0.00035214594302108705,0.99,0.7465598897682393,1
2025-12-10 15:00:00,1.16428,1.16509,1.16428,1.1645699999999999,770,8,0,0,0,0.000352061275835544,0.00042934301931199243,0.99,0.0,0
2025-12-10 15:15:00,1.16458,1.1646,1.16393,1.16398,582,8,0,1,1,0.00015464183233394817,8.591212907437326e-05,0.99,0.7465961517913471,1
2025-12-10 15:30:00,1.16395,1.16425,1.16364,1.16387,677,8,0,0,1,0.00024916872159272386,8.592024882560347e-06,0.99,0.7465961517913471,1
2025-12-10 15:45:00,1.16385,1.16419,1.16343,1.16415,781,8,0,1,0,8.589958338758331e-06,0.00023192887514494908,0.99,0.7465598897682393,1
2025-12-10 16:00:00,1.16412,1.16454,1.16369,1.16444,598,8,0,0,0,0.0002404589330492219,0.0004809178660986345,0.99,0.0,0
2025-12-10 16:15:00,1.16442,1.16493,1.16431,1.16465,487,8,0,0,0,0.0004207272571157682,0.0003606233632422504,0.99,0.0,0
2025-12-10 16:30:00,1.16466,1.1648,1.16451,1.16453,454,8,0,0,0,0.00031772474732293836,0.0004637063879848393,0.99,0.0,0
2025-12-10 16:45:00,1.16453,1.16495,1.16435,1.16495,458,8,0,0,1,0.00021460148504234817,0.00010300871282039574,0.99,0.7469520158646528,1
2025-12-10 17:00:00,1.16494,1.16509,1.16453,1.16507,448,8,0,1,1,0.00011158127837809185,0.0,0.99,0.7469520158646528,1
2025-12-10 17:15:00,1.1650800000000001,1.16545,1.16507,1.16537,468,8,0,1,1,3.432386280755469e-05,0.0001887812454414555,0.99,0.7467575548780019,1
2025-12-10 17:30:00,1.16537,1.16555,1.16528,1.16552,393,8,0,1,0,9.437847484370278e-05,0.00030029514723048297,0.99,0.7467071424793549,1
2025-12-10 17:45:00,1.16552,1.16599,1.16535,1.16583,471,8,0,0,1,0.00024874981772653263,3.4310319686437995e-05,0.99,0.746970550711667,1
2025-12-10 18:00:00,1.16581,1.16596,1.16561,1.16568,330,8,0,0,1,0.00023162445954292126,0.00016299499004865183,0.99,0.746970550711667,1
2025-12-10 18:15:00,1.16568,1.16596,1.16545,1.16595,324,8,0,1,1,0.00014580385093700715,6.861357691159998e-05,0.99,0.746970550711667,1
2025-12-10 18:30:00,1.16593,1.16606,1.16536,1.16564,429,8,0,1,1,0.0001973164956589963,0.0001973164956589963,0.99,0.746970550711667,1
2025-12-10 18:45:00,1.16563,1.16595,1.16535,1.16554,458,8,0,1,0,0.00011153628361099874,0.00028313056608948766,0.99,0.7467071424793549,1
2025-12-10 19:00:00,1.16552,1.16758,1.16472,1.16689,2691,8,0,1,0,2.5709364207401292e-05,0.0005827455887016034,0.99,0.7478424462034479,1
2025-12-10 19:15:00,1.1669,1.16747,1.16616,1.16641,1420,8,0,0,1,0.0002486261263191343,0.00017146629401323547,0.99,0.7465033207851278,1
2025-12-10 19:30:00,1.16643,1.16809,1.16464,1.16515,7470,8,0,1,1,4.2912929665798843e-05,0.0,0.99,0.7467575548780019,1
2025-12-10 19:45:00,1.16512,1.16805,1.1649,1.16778,3775,8,0,0,1,0.00023120793300107252,4.281628388898891e-05,0.99,0.7472396351771357,1
2025-12-10 20:00:00,1.16776,1.16992,1.16733,1.16985,2355,8,0,0,1,0.0005128862674703218,0.0001880582980723058,0.99,0.7481765338352446,1
2025-12-10 20:15:00,1.16983,1.16993,1.16876,1.16938,1727,8,0,1,0,0.00011117002172107057,0.000590056269133949,0.99,0.7473251023690077,1
2025-12-10 20:30:00,1.16937,1.16967,1.16881,1.16922,1033,8,0,1,0,2.5658131061711648e-05,0.000726980380082463,0.99,0.7473251023690077,1
2025-12-10 20:45:00,1.1692,1.16964,1.16912,1.16936,721,8,0,1,0,9.406855031816934e-05,0.0006071697338715096,0.99,0.7473251023690077,1
2025-12-10 21:00:00,1.1693500000000001,1.16944,1.16893,1.16915,428,8,0,1,0,8.553222426548262e-05,0.0007441303511097177,0.99,0.7473251023690077,1
2025-12-10 21:15:00,1.16916,1.16944,1.16895,1.16928,339,8,0,1,0,2.565681445008598e-05,0.0006756294471810399,0.99,0.7473251023690077,1
2025-12-10 21:30:00,1.16928,1.16931,1.16896,1.16905,273,8,0,1,0,0.00017107908130531457,0.0006586544630254801,0.99,0.7473251023690077,1
2025-12-10 21:45:00,1.16905,1.1695,1.16892,1.16948,366,8,0,1,0,0.00019666860485016802,0.0005044977254847183,0.99,0.7473251023690077,1
2025-12-10 22:00:00,1.16948,1.16948,1.16875,1.16894,176,20,0,0,0,0.000265197529385435,0.0005646140948210387,0.99,0.0,0
2025-12-10 22:15:00,1.16891,1.16907,1.1688,1.16901,212,58,0,0,0,0.00020530192213907145,0.0006244600131736422,0.99,0.0,0
2025-12-10 22:30:00,1.169,1.16904,1.16892,1.16897,240,63,0,0,0,0.00023952710505815883,0.0005902632231794481,0.99,0.0,0
2025-12-10 22:45:00,1.16896,1.1693500000000001,1.16893,1.16923,220,8,0,1,0,1.71052744112869e-05,0.0007184215252772782,0.99,0.7473251023690077,1
2025-12-10 23:00:00,1.16944,1.16983,1.16942,1.16974,201,8,0,0,0,0.00041889650691615357,0.0002821139740454643,0.99,0.0,0
2025-12-10 23:15:00,1.16973,1.16998,1.1697,1.16984,139,8,0,0,1,0.0005043424741845812,0.00019660808315663037,0.99,0.7481765338352446,1
2025-12-10 23:30:00,1.16984,1.1702,1.16982,1.17012,187,8,0,0,1,0.0007435134857964554,4.2730660103327446e-05,0.99,0.7481765338352446,1
2025-12-10 23:45:00,1.17011,1.17023,1.16995,1.17011,207,8,0,0,1,0.000734973634957468,3.41848202306108e-05,0.99,0.7481765338352446,1
2025-12-11 00:00:00,1.17011,1.17044,1.16988,1.1703000000000001,357,8,0,0,1,0.0008972058446554024,0.00010253781081784158,0.99,0.747195688364286,1
2025-12-11 00:15:00,1.17028,1.17034,1.1698,1.16983,281,8,0,0,0,0.0004957985348298684,0.0002051580144123659,0.99,0.0,0
2025-12-11 00:30:00,1.16983,1.16995,1.16968,1.16981,343,8,0,0,0,0.00047871021789873224,0.00022225831545287435,0.99,0.0,0
2025-12-11 00:45:00,1.16983,1.17017,1.16976,1.17016,519,8,0,0,1,0.000777671429548257,1.7091679770210037e-05,0.99,0.747195688364286,1
2025-12-11 01:00:00,1.17016,1.17071,1.1700599999999999,1.17047,497,8,0,0,0,0.0009397934163200262,0.00024776371884789995,0.99,0.0,0
2025-12-11 01:15:00,1.17049,1.17058,1.17023,1.17036,423,8,0,0,1,0.0009484261252949232,0.00015379883112894236,0.99,0.747195688364286,1
2025-12-11 01:30:00,1.17036,1.17044,1.17008,1.17036,417,8,0,0,1,0.0009484261252949232,0.00015379883112894236,0.99,0.747195688364286,1
2025-12-11 01:45:00,1.17036,1.17042,1.17,1.17014,336,8,0,0,1,0.0007605927495855688,3.418394380163058e-05,0.99,0.747195688364286,1
2025-12-11 02:00:00,1.17015,1.17057,1.16999,1.17002,374,8,0,0,1,0.0006581084084034114,4.273431223387931e-05,0.99,0.7481765338352446,1
2025-12-11 02:15:00,1.17002,1.17025,1.16988,1.17019,307,8,0,0,1,0.0008032883548826797,8.545620796678754e-06,0.99,0.747195688364286,1
2025-12-11 02:30:00,1.17018,1.1702,1.16981,1.16993,424,8,0,0,1,0.0005812313557221492,0.00011966527911928834,0.99,0.7481765338352446,1
2025-12-11 02:45:00,1.16992,1.16999,1.16929,1.16936,372,8,0,1,0,9.406855031816934e-05,0.0006071697338715096,0.99,0.7473251023690077,1
2025-12-11 03:00:00,1.16936,1.16973,1.16928,1.1693500000000001,450,8,0,1,0,8.551759524540216e-05,0.0006157266857654525,0.99,0.7473251023690077,1
2025-12-11 03:15:00,1.16934,1.16949,1.16904,1.16914,403,8,0,1,0,9.40862514325337e-05,0.0007355834202919093,0.99,0.7473251023690077,1
2025-12-11 03:30:00,1.16913,1.16938,1.16899,1.16932,306,8,0,1,0,5.9863852495479854e-05,0.0006413984195943184,0.99,0.7473251023690077,1
2025-12-11 03:45:00,1.16932,1.16942,1.16902,1.16904,216,8,0,1,0,0.00017963457195632437,0.000650106069937807,0.99,0.7473251023690077,1
2025-12-11 04:00:00,1.16905,1.16914,1.1689,1.16893,238,8,0,0,0,0.0002737546303028205,0.0005560640928028534,0.99,0.0,0
2025-12-11 04:15:00,1.16892,1.169,1.16852,1.16862,244,8,0,0,0,0.0003765124676969382,0.0002909414523112791,0.99,0.0,0
2025-12-11 04:30:00,1.16862,1.16886,1.16859,1.16862,210,8,0,0,0,0.0003765124676969382,0.0002909414523112791,0.99,0.0,0
2025-12-11 04:45:00,1.16861,1.16904,1.1686,1.16898,283,8,0,0,0,0.0002309705897448994,0.0005988126400793195,0.99,0.0,0
2025-12-11 05:00:00,1.16898,1.16917,1.1688,1.1688399999999999,266,8,0,0,0,0.000350775127476833,0.00047910749118775366,0.99,0.0,0
2025-12-11 05:15:00,1.1688399999999999,1.16899,1.16867,1.16886,260,8,0,0,0,0.0003336584364251411,0.0004962099823760117,0.99,0.0,0
2025-12-11 05:30:00,1.16886,1.16896,1.16872,1.1688,210,8,0,0,0,0.00038501026694031434,0.0004449007529090314,0.99,0.0,0
2025-12-11 05:45:00,1.1688,1.16887,1.16845,1.16853,330,8,0,0,0,0.00029952162118223105,0.0002139440151301922,0.99,0.0,0
2025-12-11 06:00:00,1.16855,1.16861,1.16833,1.1684,332,8,0,1,1,0.0001882916809312812,0.00010270455323529613,0.99,0.746807676305854,1
2025-12-11 06:15:00,1.16841,1.16853,1.16819,1.16835,330,8,0,1,1,0.00014550434373261734,5.991355330167715e-05,0.99,0.746807676305854,1
2025-12-11 06:30:00,1.16836,1.16871,1.16831,1.16867,333,8,0,0,0,0.000419280036280645,0.0003337126819376834,0.99,0.0,0
2025-12-11 06:45:00,1.16867,1.16894,1.16856,1.16885,278,8,0,0,0,0.0003422167087307661,0.0004876588099413607,0.99,0.0,0
2025-12-11 07:00:00,1.16888,1.1693500000000001,1.16871,1.16915,503,8,0,1,0,8.553222426548262e-05,0.0007441303511097177,0.99,0.7473251023690077,1
2025-12-11 07:15:00,1.16914,1.16952,1.169,1.1695,452,8,0,0,0,0.00021376656690900683,0.0004873877725523381,0.99,0.0,0
2025-12-11 07:30:00,1.16952,1.17001,1.16923,1.17,496,8,0,0,1,0.0006410256410256653,5.9829059829072224e-05,0.99,0.7481765338352446,1
2025-12-11 07:45:00,1.16998,1.1700599999999999,1.16927,1.16933,592,8,0,1,0,6.841524633771477e-05,0.000632841028623197,0.99,0.7473251023690077,1
2025-12-11 08:00:00,1.16933,1.17024,1.16933,1.16998,700,8,0,0,1,0.0006239422896118903,7.692439186988109e-05,0.99,0.7481765338352446,1
2025-12-11 08:15:00,1.16998,1.17017,1.16962,1.17016,573,8,0,0,1,0.000777671429548257,1.7091679770210037e-05,0.99,0.747195688364286,1
2025-12-11 08:30:00,1.17016,1.17054,1.17011,1.17025,565,8,0,0,1,0.000854518265328017,5.9816278572966884e-05,0.99,0.747195688364286,1
